mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,342,342,1,0,318,16,16,20.0,"{""15"": 4, ""20"": 8, ""25"": 4}",1954.6148153021932,1954.6148153021932,12967.596048023552,1752.5670239701867,1922.6536601781845,99.72655307501554,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,342,342,1,0,350,18,18,19.444444444444443,"{""5"": 1, ""15"": 3, ""20"": 10, ""25"": 4}",2182.6666300185025,2182.6666300185025,13989.190794993192,1958.9829160831869,2149.035645648837,111.1934189684689,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,343,343,1,0,509,25,25,20.4,"{""15"": 7, ""20"": 9, ""25"": 9}",3018.2345043867826,3018.2345043867826,17450.10944781825,2714.9613238871098,2971.8967117369175,154.41188914701343,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,343,343,1,0,324,16,16,20.3125,"{""15"": 4, ""20"": 7, ""25"": 5}",1960.600814782083,1960.600814782083,13067.989983130246,1760.611911304295,1928.7315518595278,102.30554919689894,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,344,344,0,1,1000,48,48,20.625,"{""10"": 1, ""15"": 2, ""20"": 35, ""25"": 10}",5795.995213091373,5795.995213091373,28335.36972803995,5208.422116469592,5690.542142372578,291.222361382097,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,344,344,1,0,858,40,40,21.375,"{""15"": 2, ""20"": 25, ""25"": 13}",4898.397697601467,4898.397697601467,25137.7321658656,4394.406038336456,4819.257631897926,252.76202568784356,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,345,345,1,0,281,14,14,20.0,"{""15"": 3, ""20"": 8, ""25"": 3}",1724.7544657438993,1724.7544657438993,12283.976806793362,1549.256268888712,1696.8055870383978,88.68474001064897,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,345,345,1,0,278,14,14,19.642857142857142,"{""10"": 1, ""15"": 2, ""20"": 8, ""25"": 3}",1713.6936131864786,1713.6936131864786,12016.285779885948,1534.9775240756571,1686.5529376082122,87.80577592551708,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,336,336,1,0,250,24,24,10.0,"{""5"": 15, ""15"": 4, ""20"": 4, ""25"": 1}",2853.754302021116,2853.754302021116,12937.407128047198,2558.293422218412,2810.5314723215997,145.6040139310062,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current_once,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,336,336,1,0,251,20,20,13.0,"{""5"": 8, ""15"": 5, ""20"": 6, ""25"": 1}",2407.22419321537,2407.22419321537,12414.267058018595,2161.088658031076,2370.3966601751745,122.47535865753889,nan,nan,nan,nan,nan,nan,nan,nan,nan
