mode,task_id,episodes,success_rate,timeout_rate,calls_per_episode,successful_calls_per_episode,timeout_calls_per_episode,sampled_action_chunks_per_episode,avg_h,h_distribution,actual_wall_ms_per_episode,policy_rpc_wall_ms_per_episode,policy_rpc_wall_ms_per_call,successful_policy_rpc_wall_ms_per_episode,timeout_policy_rpc_wall_ms_per_episode,actual_episode_elapsed_ms_per_episode,actual_episode_elapsed_episodes,successful_episode_elapsed_ms_per_episode,timeout_episode_elapsed_ms_per_episode,actual_policy_ms_per_episode,policy_ms_per_call,successful_policy_ms_per_episode,timeout_policy_ms_per_episode,actual_server_ms_per_episode,server_ms_per_call,predictor_ms_per_episode,predictor_ms_per_call,batched_teacher_ms_per_episode
v2_distilled,0,100,0.98,0.02,30.68,29.20408163265306,103.0,30.68,9.889830508474576,"{""2"": 1, ""3"": 2, ""4"": 7, ""5"": 10, ""6"": 20, ""7"": 20, ""8"": 29, ""9"": 26, ""10"": 2953}",3798.955711722374,3798.955711722374,123.82515357634857,3616.261229736312,12750.985329039395,15043.813924696296,100,14631.317645976585,35256.13158196211,3463.6663823202252,112.89655744198909,3297.0040810427495,11630.119144916534,3759.950410351157,122.5537943399986,151.2067923694849,4.928513440987122,nan
v2_distilled,1,100,1.0,0.0,26.58,26.58,nan,26.58,9.636192626034612,"{""3"": 12, ""4"": 39, ""5"": 33, ""6"": 54, ""7"": 29, ""8"": 40, ""9"": 101, ""10"": 2350}",3300.6993263959885,3300.6993263959885,124.1798091194879,3300.6993263959885,nan,13471.118953246623,100,13471.118953246623,nan,3011.156649645418,113.28655566762295,3011.156649645418,nan,3268.178108148277,122.95628698827227,129.67966919764876,4.878843837383324,nan
v2_distilled,2,100,0.97,0.03,28.21,25.989690721649485,100.0,28.21,9.827720666430343,"{""1"": 1, ""3"": 12, ""4"": 17, ""5"": 18, ""6"": 18, ""7"": 24, ""8"": 14, ""9"": 29, ""10"": 2688}",3443.410620149225,3443.410620149225,122.06347465966768,3173.9350724005208,12156.453330690661,9258.708193898201,100,8742.148906203736,25960.791829352576,3145.0880199484527,111.4884090729689,2898.7244154835485,11110.84456431369,3410.503655076027,120.89697465707292,135.6295150704682,4.807852359818085,nan
v2_distilled,3,100,0.98,0.02,26.17,24.602040816326532,103.0,26.17,9.448605273213603,"{""3"": 62, ""4"": 39, ""5"": 52, ""6"": 49, ""7"": 37, ""8"": 46, ""9"": 116, ""10"": 2216}",3055.9832939505577,3055.9832939505577,116.77429476310881,2861.734681534676,12574.165302328765,9906.747592613101,100,9506.59285727128,29514.32962436229,2805.980238877237,107.22125482908815,2628.844975626894,11485.608138144016,3026.8359824083745,115.66052664915455,115.64081693068147,4.418831369150992,nan
v2_distilled,4,100,0.97,0.03,26.67,24.432989690721648,99.0,26.67,10.0,"{""10"": 2667}",2997.63840906322,2997.63840906322,112.3973906660375,2757.9955047898993,10746.09231390059,14372.561468854547,100,13796.07450470482,33012.30664302906,2785.6506819836795,104.44884446882938,2560.225390685127,10074.401767303547,2968.682517707348,111.3116804539688,117.78214575722814,4.416278431092168,nan
v2_distilled,5,100,0.9,0.1,26.1,18.0,99.0,26.1,9.99808429118774,"{""8"": 2, ""9"": 1, ""10"": 2607}",3162.2470246441662,3162.2470246441662,121.15888983310981,2189.1080202741755,11920.498063974082,9996.493372451514,100,8149.256702719464,26621.62340003997,2891.732046958059,110.79433130107506,2000.8675737513436,10909.512305818498,3130.965507104993,119.96036425689628,124.89684412255883,4.785319698182331,nan
v2_distilled,6,100,0.94,0.06,28.77,24.27659574468085,99.16666666666667,28.77,9.994786235662149,"{""1"": 1, ""8"": 2, ""9"": 2, ""10"": 2872}",3527.9490108788013,3527.9490108788013,122.62596492453254,2981.340613156716,12091.480575191477,12799.752013999969,100,11694.654411616477,30112.947784674663,3219.296278320253,111.89768085923716,2719.776477486371,11045.106491384407,3493.5166156478226,121.42914896238521,138.40217655524611,4.81064221603219,nan
v2_distilled,7,100,0.98,0.02,27.93,26.479591836734695,99.0,27.93,9.974579305406372,"{""4"": 3, ""5"": 4, ""6"": 3, ""7"": 5, ""8"": 1, ""9"": 4, ""10"": 2773}",3431.048050429672,3431.048050429672,122.8445417268053,3255.246167679374,12045.340305194259,11744.391576349735,100,11378.72247367489,29662.177607417107,3132.1191710047424,112.14175334782465,2971.5510102901226,10999.959046021104,3397.197381351143,121.63255930365712,135.00145504251122,4.833564448353427,nan
v2_distilled,8,100,0.86,0.14,52.28,44.651162790697676,99.14285714285714,52.28,9.989862280030604,"{""1"": 1, ""2"": 1, ""3"": 1, ""6"": 4, ""8"": 5, ""9"": 3, ""10"": 5213}",6382.475456763059,6382.475456763059,122.08254507963005,5451.704056933522,12100.07119857307,15604.661608505994,100,13768.336391769522,26884.945082744318,5829.950951933861,111.51398148305013,4979.806043012717,11052.26967816374,6320.84880085662,120.90376436221538,251.82613886892796,4.81687335250436,nan
v2_distilled,9,100,0.94,0.06,31.97,27.617021276595743,100.16666666666667,31.97,9.854238348451673,"{""2"": 1, ""3"": 9, ""4"": 15, ""5"": 17, ""6"": 14, ""7"": 26, ""8"": 14, ""9"": 58, ""10"": 3043}",3919.785975497216,3919.785975497216,122.60825697520225,3385.4971102220898,12290.311531474194,12105.879102572799,100,10971.365568624373,29879.924467764795,3580.957208573818,112.00992206987232,3092.582977634478,11232.153493290147,3881.870495583862,121.42228638047739,153.82466562092304,4.811531611539664,nan
