mode,task_id,episode,initial_state_id,environment_step,selected_horizon,execution_horizon,wall_ms,policy_ms,server_ms,predictor_ms,batched_teacher_ms,harp_residual_ms,harp_gripper_event_ms,selector_json
ordered_midchunk_masked,4,343,343,10,25,25,121.32116174325347,108.37025102227926,119.28471084684134,6.076910998672247,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.17164088785648346,0.14141754806041718,0.16926458477973938,0.2354915738105774,0.282185435295105],""ordered_continuation_logits"":[1.5740423202514648,1.5805323123931885,1.1178884506225586,0.18088944256305695],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":10,""episode_progress"":0.01,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":25,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,35,15,15,124.89918805658817,112.70733922719955,123.10393387451768,6.287208758294582,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.12894736230373383,0.19478009641170502,0.2893708646297455,0.22610744833946228,0.1607942134141922],""ordered_continuation_logits"":[1.9102981090545654,1.2447248697280884,0.2904614508152008,-0.3408849239349365],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.035,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":15,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,50,25,25,120.68100413307548,108.02678996697068,118.84074425324798,6.433283910155296,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.12461358308792114,0.09735278785228729,0.19754736125469208,0.22114446759223938,0.3593418598175049],""ordered_continuation_logits"":[1.9494476318359375,2.078428268432617,1.0778878927230835,0.48545798659324646],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.05,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":25,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,75,15,15,120.32070569694042,107.5385413132608,118.42685099691153,6.078912876546383,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.2586071193218231,0.16224995255470276,0.3933177590370178,0.12262535840272903,0.06319992244243622],""ordered_continuation_logits"":[1.0532208681106567,1.272411584854126,-0.7498109936714172,-0.6628307104110718],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.075,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":15,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,90,20,20,119.9392220005393,107.64642106369138,118.27451409772038,6.182537879794836,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.08604758232831955,0.1407570242881775,0.27668464183807373,0.27738016843795776,0.21913054585456848],""ordered_continuation_logits"":[2.3628780841827393,1.7034966945648193,0.5847266316413879,-0.23572123050689697],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.09,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":20,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,110,15,10,124.06138423830271,111.5759639069438,122.06955626606941,6.481650285422802,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.1407173126935959,0.12580065429210663,0.3857230842113495,0.206220343708992,0.1415386199951172],""ordered_continuation_logits"":[1.809345006942749,1.7631046772003174,-0.10361010581254959,-0.37637272477149963],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":20,""episode_progress"":0.11,""budget_fraction"":0.5,""midchunk_checked"":true,""replanned_early"":true,""nominal_horizon"":15,""midchunk_check_after"":10,""midchunk_check_schedule"":""gripper_event"",""midchunk_environment_step"":120,""midchunk_monitor_ms"":0.2107708714902401,""midchunk_monitor"":{""replan_gain"":0.03936273604631424,""threshold"":0.027104230597615242,""replan"":true,""variant"":""masked""}}"
ordered_midchunk_masked,4,343,343,120,25,25,122.62016860768199,110.2132210507989,120.8023289218545,6.254002917557955,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.07876111567020416,0.058686237782239914,0.22216345369815826,0.1926521211862564,0.4477371275424957],""ordered_continuation_logits"":[2.4593000411987305,2.6876912117004395,1.05866277217865,0.8433200716972351],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":10,""episode_progress"":0.12,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":25,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,145,15,15,123.07768687605858,110.38072174414992,121.16638198494911,6.243384908884764,nan,nan,nan,"{""raw_horizon"":15,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.27909186482429504,0.08873682469129562,0.42674538493156433,0.13963717222213745,0.06578874588012695],""ordered_continuation_logits"":[0.9489706158638,1.9634854793548584,-0.7311021089553833,-0.7525987029075623],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.145,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":15,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,160,25,25,120.37246488034725,107.27373603731394,118.67274018004537,6.156044080853462,nan,nan,nan,"{""raw_horizon"":25,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.1434061974287033,0.07010151445865631,0.16290844976902008,0.29655492305755615,0.32702893018722534],""ordered_continuation_logits"":[1.7872827053070068,2.4176387786865234,1.3422948122024536,0.09781625866889954],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":15,""episode_progress"":0.16,""budget_fraction"":0.5,""midchunk_checked"":false,""replanned_early"":false,""nominal_horizon"":25,""midchunk_check_after"":null,""midchunk_check_schedule"":""gripper_event""}"
ordered_midchunk_masked,4,343,343,185,20,20,123.24655195698142,108.30978397279978,120.76092977076769,6.164398975670338,nan,nan,nan,"{""raw_horizon"":20,""budget_limited"":0.0,""selector_policy"":""ordered_midchunk_masked"",""ordered_horizon_probability"":[0.16027586162090302,0.16164320707321167,0.20264673233032227,0.31675758957862854,0.1586766391992569],""ordered_continuation_logits"":[1.656177043914795,1.433875322341919,0.8527644872665405,-0.691268265247345],""candidate_horizons"":[5,10,15,20,25],""previous_horizon"":25,""episode_progress"":0.185,""budget_fraction"":0.5,""midchunk_checked"":true,""replanned_early"":false,""nominal_horizon"":20,""midchunk_check_after"":5,""midchunk_check_schedule"":""gripper_event"",""midchunk_environment_step"":190,""midchunk_monitor_ms"":0.19349437206983566,""midchunk_monitor"":{""replan_gain"":-0.07305850088596344,""threshold"":0.027104230597615242,""replan"":false,""variant"":""masked""}}"
