coarse_num_steps,mode,success_rate,average_return,timeout_rate,avg_wall_inference_ms,avg_policy_inference_ms,avg_server_inference_ms,avg_coarse_num_steps_used,speedup_vs_coarse10_pct
10,full,0.95,0.95,0.05,92.71958060707757,82.69714064932793,91.71433830888272,nan,0.0
7,full,1.0,1.0,0.0,87.58383951144367,77.32679171922877,86.52865710470535,nan,5.539003802657271
5,full,1.0,1.0,0.0,84.16512730898869,73.78711821431709,83.16670466463341,nan,9.226156160412891
3,full,1.0,1.0,0.0,81.77470804548531,71.05684950548688,80.71142296003535,nan,11.80427315344954
1,full,1.0,1.0,0.0,79.22992294532452,68.20720148524433,78.20628453366854,nan,14.548876918370524
