mode,task_id,episodes,success_rate,timeout_rate,calls_per_episode,successful_calls_per_episode,timeout_calls_per_episode,sampled_action_chunks_per_episode,avg_h,h_distribution,actual_wall_ms_per_episode,policy_rpc_wall_ms_per_episode,policy_rpc_wall_ms_per_call,successful_policy_rpc_wall_ms_per_episode,timeout_policy_rpc_wall_ms_per_episode,actual_episode_elapsed_ms_per_episode,actual_episode_elapsed_episodes,successful_episode_elapsed_ms_per_episode,timeout_episode_elapsed_ms_per_episode,actual_policy_ms_per_episode,policy_ms_per_call,successful_policy_ms_per_episode,timeout_policy_ms_per_episode,actual_server_ms_per_episode,server_ms_per_call,predictor_ms_per_episode,predictor_ms_per_call,batched_teacher_ms_per_episode
v2_value_refined,0,100,0.97,0.03,31.67,29.45360824742268,103.33333333333333,31.67,9.70792548152826,"{""1"": 29, ""2"": 2, ""3"": 1, ""4"": 14, ""5"": 34, ""6"": 9, ""7"": 37, ""8"": 56, ""9"": 128, ""10"": 2857}",3839.1361949034035,3839.1361949034035,121.22311951068531,3563.2053804727866,12760.899194826683,15256.960087046027,100,14610.11289761008,36171.6858788083,3510.3868831135333,110.8426549767456,3259.167773053818,11633.138108377656,3799.934320766479,119.98529588779535,149.44884585216641,4.718940506857165,nan
v2_value_refined,1,100,0.99,0.01,29.41,28.646464646464647,105.0,29.41,8.91227473648419,"{""1"": 104, ""2"": 16, ""3"": 15, ""4"": 67, ""5"": 55, ""6"": 74, ""7"": 97, ""8"": 103, ""9"": 560, ""10"": 1850}",3507.1201799437404,3507.1201799437404,119.24924107255153,3412.2214118639627,12902.098219841719,13784.881260544062,100,13557.582119761995,36287.49619796872,3214.853676818311,109.31158370684498,3128.2850837692467,11785.14438867569,3473.6601217091084,118.11153082995948,133.44441389665008,4.537382315425028,nan
v2_value_refined,2,100,0.95,0.05,32.18,28.221052631578946,107.4,32.18,9.067433188315723,"{""1"": 25, ""2"": 75, ""3"": 43, ""4"": 29, ""5"": 95, ""6"": 45, ""7"": 58, ""8"": 106, ""9"": 660, ""10"": 2082}",3726.323200222105,3726.323200222105,115.7962461225017,3269.725492733874,12401.679642498493,9764.192669130862,100,8895.06028992565,26277.707874029875,3419.8224404640496,106.27167310329551,3000.7686699495503,11381.844080239534,3690.7872838526964,114.69196034346477,144.92714293301105,4.503640240304881,nan
v2_value_refined,3,100,0.99,0.01,27.22,26.404040404040405,108.0,27.22,9.142174871418074,"{""1"": 70, ""2"": 29, ""3"": 2, ""4"": 29, ""5"": 70, ""6"": 2, ""7"": 7, ""8"": 12, ""9"": 882, ""10"": 1619}",3251.0746637545526,3251.0746637545526,119.43698250384102,3178.911638530818,10395.214160904288,10119.031940642744,100,9931.60947925891,28673.855617642403,2974.498512465507,109.27621280181877,2905.897813971446,9765.967663377523,3219.950790926814,118.29356322288075,126.2656619772315,4.63870911011137,nan
v2_value_refined,4,100,0.96,0.04,30.31,27.229166666666668,104.25,30.31,9.029693170570768,"{""1"": 27, ""2"": 27, ""3"": 73, ""4"": 65, ""5"": 60, ""6"": 10, ""7"": 77, ""8"": 66, ""9"": 878, ""10"": 1748}",3626.980587989092,3626.980587989092,119.66283695114127,3247.659607382957,12730.684122536331,15098.407155275345,100,14297.02779445021,34331.51181507856,3316.890292800963,109.43221025407334,2970.847539817138,11621.916364412755,3589.2375260405242,118.41760231080582,142.57187202572823,4.703789905170842,nan
v2_value_refined,5,100,0.91,0.09,25.63,17.945054945054945,103.33333333333333,25.63,9.801794771751853,"{""1"": 2, ""2"": 10, ""3"": 2, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 41, ""8"": 10, ""9"": 212, ""10"": 2278}",3125.2951017208397,3125.2951017208397,121.93894271247912,2184.833467088558,12634.407185225024,9912.897746302187,100,8155.607153262411,27681.058187037706,2852.324375361204,111.28850469610629,1995.4796219961001,11515.976881608367,3090.2965957671404,120.57341380285371,127.19994267448783,4.962931824989771,nan
v2_value_refined,6,100,0.92,0.08,32.33,26.25,102.25,32.33,9.369007114135478,"{""1"": 11, ""2"": 59, ""3"": 4, ""4"": 111, ""5"": 22, ""6"": 18, ""7"": 27, ""8"": 19, ""9"": 474, ""10"": 2488}",3868.3090865798295,3868.3090865798295,119.65076048808628,3144.112422697894,12196.570721222088,13406.124145779759,100,11922.999603532093,30462.056381627917,3539.1680729947984,109.47009195777292,2877.309760848141,11150.538662681356,3825.2625145576894,118.31928594363407,151.6399878449738,4.6903800756255425,nan
v2_value_refined,7,100,0.98,0.02,29.43,27.877551020408163,105.5,29.43,9.441726129799525,"{""1"": 90, ""2"": 1, ""4"": 12, ""5"": 85, ""6"": 16, ""7"": 11, ""8"": 27, ""9"": 177, ""10"": 2524}",3525.9170560725033,3525.9170560725033,119.80689962869532,3337.785818918171,12744.347676634789,11890.031281877309,100,11516.144599233356,30210.478731431067,3233.8032829761505,109.8811852863116,3061.518618703953,11675.751832313836,3488.5140528157353,118.53598548473447,134.21915266662836,4.560623604030865,nan
v2_value_refined,8,100,0.84,0.16,56.76,47.726190476190474,104.1875,56.76,9.245419309372798,"{""1"": 16, ""2"": 76, ""3"": 26, ""4"": 47, ""5"": 17, ""6"": 242, ""7"": 183, ""8"": 108, ""9"": 1249, ""10"": 3712}",6745.262025278062,6745.262025278062,118.83830206620968,5668.800359658365,12396.68576978147,16188.235515225679,100,14007.652579784572,27636.295926291496,6179.675379768014,108.87377342790722,5193.089169272709,11359.252984868363,6670.656383037567,117.52389681179646,260.3141847997904,4.586225947846906,nan
v2_value_refined,9,100,0.92,0.08,33.98,27.695652173913043,106.25,33.98,9.642142436727486,"{""2"": 16, ""3"": 8, ""4"": 29, ""5"": 13, ""6"": 17, ""7"": 23, ""8"": 34, ""9"": 588, ""10"": 2670}",4230.213509965688,4230.213509965688,124.49127457226862,3451.725893775406,13182.82109615393,12539.426954202354,100,10983.619019368907,30431.218204787,3867.501582149416,113.81699770892926,3156.056168225958,12049.123842269182,4186.411302294582,123.20221607694474,165.47215349972248,4.869692569150161,nan
