mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,342,342,1,0,318,16,16,20.0,"{""15"": 4, ""20"": 8, ""25"": 4}",1955.4875353351235,1955.4875353351235,13217.372559942305,1752.885154914111,1925.833631772548,100.9103967808187,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,342,342,1,0,316,16,16,19.375,"{""15"": 5, ""20"": 8, ""25"": 3}",1947.5458459928632,1947.5458459928632,13268.893063999712,1747.211133595556,1917.9555498994887,100.48261191695929,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,343,343,1,0,504,24,24,20.625,"{""15"": 7, ""20"": 7, ""25"": 10}",2802.3495161905885,2802.3495161905885,17517.9051742889,2538.00535434857,2759.808129630983,137.91628275066614,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,343,343,1,0,324,16,16,20.3125,"{""15"": 4, ""20"": 7, ""25"": 5}",1934.6417016349733,1934.6417016349733,13256.787904072553,1742.720379959792,1905.8803133666515,100.00872099772096,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,344,344,0,1,1000,48,48,20.625,"{""10"": 1, ""15"": 2, ""20"": 35, ""25"": 10}",5829.808655194938,5829.808655194938,27858.746462035924,5236.732465680689,5740.314566995949,302.33703134581447,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,344,344,1,0,794,38,38,20.657894736842106,"{""5"": 3, ""15"": 2, ""20"": 17, ""25"": 16}",4616.9572323560715,4616.9572323560715,23556.130076758564,4145.918321795762,4546.466726344079,239.70302427187562,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,345,345,1,0,281,14,14,20.0,"{""15"": 3, ""20"": 8, ""25"": 3}",1701.5030607581139,1701.5030607581139,12219.189925584942,1529.040570370853,1676.054724957794,86.54191996902227,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,345,345,1,0,278,14,14,19.642857142857142,"{""10"": 1, ""15"": 2, ""20"": 8, ""25"": 3}",1667.4942644312978,1667.4942644312978,12030.103653203696,1504.7640488483012,1640.902609564364,83.79538170993328,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,336,336,1,0,250,24,24,10.0,"{""5"": 15, ""15"": 4, ""20"": 4, ""25"": 1}",2802.323173265904,2802.323173265904,12872.438099235296,2537.1291115880013,2762.6294582150877,139.24368657171726,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,336,336,1,0,248,21,21,12.142857142857142,"{""5"": 10, ""15"": 5, ""20"": 4, ""25"": 2}",2545.586036052555,2545.586036052555,12720.014155842364,2269.1637300886214,2505.4435152560472,128.62138450145721,nan,nan,nan,nan,nan,nan,nan,nan,nan
